,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
72,people.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,6800,7737,7168,8547,7350,8699,6803,6711,6410,6384,5852,6029,6566,7103
73,microsoft.com,20190410,0,0,0,0,0,0,0,0,0,0,357426,263709,362602,299390,250731,325336,276889,275780,306321,113544,43591,37023,37655,47253
74,sina.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,12804,11604,8231,9431,9311,8976,8440,7522,7875,8675,9530,12350,7789,5533
75,ftchinese.com,20190410,0,0,0,0,0,0,0,0,0,0,4135,4650,3558,4286,3774,2809,3591,3270,4242,4748,2849,1987,1498,2500
76,lenovo.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,883,1001,714,1509,1293,1552,1216,1451,1340,1772,1557,1437,1304,1096
77,weibo.com,20190410,0,0,0,0,0,0,0,0,0,0,7911,5904,5559,7020,5080,5401,5282,4859,5165,6141,8665,31700,6409,6313
78,china.org.cn,20190410,0,0,0,0,0,0,0,0,0,0,16424,18303,13104,19383,15776,16893,14618,16330,14516,18244,17599,16580,17847,20268
79,alibaba.com,20190410,0,0,0,0,0,0,0,0,0,0,25357,23664,19294,21986,18364,21749,19923,20870,20349,21756,21188,19421,20202,19864
80,chinadaily.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,5813,7209,5560,8532,6024,6807,8367,9459,8984,10361,10093,7292,7958,8620
81,vivo.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,13007,15406,16163,14916,11757,11985,11408,14473,17291,13888,13377,12983,13229,14130
82,ubuntu.com,20190410,0,0,0,0,0,0,0,0,0,0,1028,963,996,1288,1178,1266,1534,1033,1124,1108,1009,1155,1197,1131
83,xunlei.com,20190410,0,0,0,0,0,0,0,0,0,0,28860,32925,37741,61093,45543,45412,44178,46628,45946,44269,40318,29834,26602,19637
84,meizu.com,20190410,0,0,0,0,0,0,0,0,0,0,4077,5527,5858,5692,4219,4939,3479,5158,4681,3875,3864,3878,3489,3883
85,bilibili.com,20190410,0,0,0,0,0,0,0,0,0,0,3339,4212,5689,5039,3594,4251,4011,5013,6571,6493,5611,6353,7583,9401
86,iciba.com,20190410,0,0,0,0,0,0,0,0,0,0,2965,1715,1213,1917,2379,3672,3111,3267,1668,2980,4235,3061,2589,2283
87,webofknowledge.com,20190410,0,0,0,0,0,0,0,0,0,0,2444,1453,732,892,1404,1910,1799,1442,775,1645,1760,1644,1473,612
88,apple.com,20190410,0,0,0,0,0,0,0,0,0,0,11052,11725,8843,10037,8895,9447,8440,7961,8017,8861,8983,8309,8464,8531
89,time-weekly.com,20190410,0,0,0,0,0,0,0,0,0,0,1306,1507,1355,1541,1315,1049,1006,1208,1403,1552,1286,1259,1101,1336
90,dzwww.com,20190410,0,0,0,0,0,0,0,0,0,0,3125,3623,3151,3368,2306,2121,946,1401,1733,2051,1341,1055,567,1194
91,xiaomi.com,20190410,0,0,0,0,0,0,0,0,0,0,21809,24724,23827,24213,20238,20226,17786,19080,20470,21257,18737,20696,20208,20388
92,zhihu.com,20190410,0,0,0,0,0,0,0,0,0,0,4505,4381,3039,2518,2277,2482,2044,2404,2691,2949,2802,2452,3043,3950
93,renren.com,20190410,0,0,0,0,0,0,0,0,0,0,513,484,335,245,745,519,229,191,161,166,124,298,258,112
94,teamviewer.com,20190410,0,0,0,0,0,0,0,0,0,0,5003,5618,4984,5786,4708,4550,3916,4086,4273,4509,4078,4100,4391,4020
95,smartisan.com,20190410,0,0,0,0,0,0,0,0,0,0,615,556,363,802,314,519,689,680,689,817,357,494,655,369
96,qunar.com,20190410,0,0,0,0,0,0,0,0,0,0,646,545,1243,806,769,598,851,782,535,784,818,1015,624,957
97,51job.com,20190410,0,0,0,0,0,0,0,0,0,0,1929,959,396,1292,466,635,206,115,53,359,295,314,351,105
98,dianping.com,20190410,0,0,0,0,0,0,0,0,0,0,737,2605,820,675,547,755,831,927,1206,909,455,555,416,401
99,xuetangx.com,20190410,0,0,0,0,0,0,0,0,0,0,635,1112,715,416,792,905,492,942,1031,910,1349,1254,643,479
100,jjwxc.net,20190410,0,0,0,0,0,0,0,0,0,0,740,822,644,670,683,728,428,328,302,442,515,714,579,803
101,chaoxing.com,20190410,0,0,0,0,0,0,0,0,0,0,565,394,235,216,286,640,578,259,229,472,380,447,234,252
102,samsung.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,274,632,449,433,295,312,189,335,571,300,313,255,362,259
