,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
459,indianrail.gov.in,0,0,0,0.0,0.0,,,,,17,52.73198079909231,0,0.0,0,4,0.35294117647058826,6045.0,6045.0,201.0,0
460,jb51.net,11,9,12,1.0000000000000002,0.6666666666666666,2.0,5.5,2.5,0.6366155208642554,8,24.0,2,0.25,1,2,0.375,4685.0,4685.0,1723.0,0
461,doc88.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,9,22.52932501298081,2,0.2222222222222222,1,2,0.3333333333333333,4174.0,4174.0,194.0,0
462,zhaopin.com,0,0,0,0.0,0.0,2.0,6.0,3.0,0.9203235342598148,11,36.05374780501027,0,0.0,0,2,0.6363636363636364,7825.0,7825.0,284.0,0
463,deviantart.net,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,42.548081406643,0,0.0,0,2,0.7142857142857143,6964.0,6964.0,317.0,0
464,admaimai.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,31.509775004326944,0,0.0,0,3,0.4166666666666667,4272.0,4272.0,699.0,0
465,spectrum.net,0,0,0,0.0,0.0,,,,,12,39.01955000865389,0,0.0,0,2,0.6666666666666666,8693.0,8693.0,390.0,0
466,udacity.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,11,36.05374780501027,0,0.0,0,3,0.3636363636363637,2681.0,2681.0,155.0,0
467,championat.com,0,0,0,0.0,0.0,,,,,14,45.30296890880647,0,0.0,0,3,0.5714285714285714,5047.0,5047.0,1302.0,0
468,bankmellat.ir,0,0,0,0.0,0.0,,,,,13,44.10571633583421,0,0.0,0,3,0.38461538461538464,,,,0
469,teepr.com,0,0,0,0.0,0.0,,,,,9,26.52932501298081,0,0.0,0,3,0.3333333333333333,3174.0,3174.0,1041.0,0
470,idealista.com,0,0,0,0.0,0.0,,,,,13,44.10571633583419,0,0.0,0,2,0.6923076923076923,7212.0,7212.0,1067.0,0
471,fidelity.com,0,0,0,0.0,0.0,,,,,12,41.019550008653866,0,0.0,0,1,0.9166666666666666,8297.0,8297.0,267.0,0
472,cqvip.com,0,0,0,0.0,0.0,2.0,6.0,3.0,1.117892867585227,9,26.52932501298081,0,0.0,0,3,0.3333333333333333,7147.0,7147.0,626.0,0
473,hjenglish.com,0,0,0,0.0,0.0,2.0,5.5,3.5,1.2129889532578249,13,46.10571633583419,0,0.0,0,3,0.5384615384615384,5717.0,5717.0,1025.0,0
474,kissasian.com,0,0,0,0.0,0.0,,,,,13,39.350828833670725,0,0.0,0,3,0.38461538461538464,1523.0,1523.0,61.0,0
475,vidio.com,0,0,0,0.0,0.0,,,,,9,24.52932501298081,0,0.0,0,2,0.5555555555555556,7843.0,7843.0,1741.0,0
476,kalerkantho.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,52.603358934127776,0,0.0,0,4,0.3333333333333333,3647.0,3647.0,1141.0,0
477,trackmedia101.com,0,0,0,0.0,0.0,,,,,17,61.48686830125579,3,0.17647058823529413,1,3,0.29411764705882354,404.0,404.0,68.0,0
478,amazon.fr,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.52932501298081,0,0.0,0,2,0.6666666666666666,0.0,62.0,0.0,0
479,metropoles.com,0,0,0,0.0,0.0,,,,,14,44.548081406643,0,0.0,0,2,0.6428571428571429,5775.0,5775.0,231.0,0
480,cima4u.tv,0,0,0,0.0,0.0,,,,,9,28.52932501298081,1,0.1111111111111111,1,2,0.4444444444444444,2023.0,2023.0,429.0,0
481,airtel.in,0,0,0,0.0,0.0,,,,,9,26.52932501298081,0,0.0,0,2,0.6666666666666666,5247.0,5247.0,1608.0,0
482,ajel.sa,0,0,0,0.0,0.0,,,,,7,17.651484454403235,0,0.0,0,2,0.5714285714285714,,,,0
483,overstock.com,0,0,0,0.0,0.0,,,,,13,41.350828833670725,0,0.0,0,1,0.9230769230769232,7404.0,7404.0,257.0,0
