,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
425,gs307.com,1,2.0,0.0,4.766031238193982,1
426,maccms.net,3,3.3333333333333335,0.4714045207910317,0.8226973822081968,1
427,l-krak.com,1,2.0,0.0,8.125,1
428,80s.la,3,3.3333333333333335,0.4714045207910317,1.3892682533262313,1
429,newasp.net,5,3.0,1.5491933384829668,0.7570635388187323,1
430,baijia78.com,5,2.6,0.8,0.7016885755159995,1
431,daheit.cc,4,3.25,0.82915619758885,0.2219011686885184,1
432,glzip.cn,4,3.5,1.6583123951777,1.3018043034359827,1
433,hao76.com,1,2.0,0.0,3.225895835405523,1
434,cnkang.com,4,2.5,0.8660254037844386,1.2364059124622753,1
435,advancemactools.com,9,2.111111111111111,0.3142696805273545,0.3735632183908046,1
436,jianshe99.com,5,2.4,0.8000000000000002,1.0020208020876702,1
437,ahjem.com,4,4.0,1.224744871391589,0.7848719079786819,1
438,12317wan.com,4,3.0,0.0,1.0273344591659697,1
439,files.fm,1,9.0,0.0,4.237450920768915,1
440,qquu8.com,4,3.25,1.0897247358851685,0.8145957544660987,1
441,anquanxia.com,3,2.6666666666666665,0.4714045207910317,1.3545900422176291,1
442,jianke.com,7,2.142857142857143,0.3499271061118826,0.4040476294821957,1
443,pomf.se,0,0.0,0.0,0.0,1
444,oocities.org,1,2.0,0.0,8.125,1
445,zjnu.edu.cn,4,2.0,0.0,-1.1102230246251565e-16,1
446,ylyk.com,4,3.0,0.0,0.7342875132524234,1
447,xigua.com,0,0.0,0.0,0.0,1
448,dj134.com,0,0.0,0.0,0.0,1
449,sektori.org,0,0.0,0.0,0.0,1
450,wicp.net,0,0.0,0.0,0.0,1
451,kuroy.me,0,0.0,0.0,0.0,1
452,grepler.com,0,0.0,0.0,0.0,1
453,filetracker.pl,0,0.0,0.0,0.0,1
454,skynetcloud.tk,0,0.0,0.0,0.0,1
455,bluefrog.pw,0,0.0,0.0,0.0,1
456,best-torrents.net,0,0.0,0.0,0.0,1
457,iamhansen.xyz,0,0.0,0.0,0.0,1
458,omsk.ru,0,0.0,0.0,0.0,1
459,nyaatorrents.info,0,0.0,0.0,0.0,1
460,xbbav.cc,0,0.0,0.0,0.0,1
461,x81zw.com,0,0.0,0.0,0.0,1
462,minisrclink.cool,0,0.0,0.0,0.0,1
463,vnu.edu.vn,0,0.0,0.0,0.0,1
464,anti-toolbar.com,0,0.0,0.0,0.0,1
465,yezhulu.cc,0,0.0,0.0,0.0,1
466,fireemblem.net,0,0.0,0.0,0.0,1
467,pft12301.cc,0,0.0,0.0,0.0,1
468,3dxy.com,0,0.0,0.0,0.0,1
469,tyread.com,0,0.0,0.0,0.0,1
470,51wady.com,0,0.0,0.0,0.0,1
471,dothome.co.kr,0,0.0,0.0,0.0,1
472,teens-pusses.ru,0,0.0,0.0,0.0,1
473,0311bj.cn,0,0.0,0.0,0.0,1
474,torrent-download.to,0,0.0,0.0,0.0,1
475,publicbits.com,0,0.0,0.0,0.0,1
476,webcindario.com,0,0.0,0.0,0.0,1
477,doko.moe,0,0.0,0.0,0.0,1
478,bidcenter.com.cn,0,0.0,0.0,0.0,1
479,maxthonimg.com,0,0.0,0.0,0.0,1
480,zhouyi.cc,0,0.0,0.0,0.0,1
481,anyisheng.com,0,0.0,0.0,0.0,1
482,acentsd.com,0,0.0,0.0,0.0,1
