,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
128,ohsoft.net,10,29.21928094887362,0,0.0,0,2,0.7
129,weico.cc,8,19.24511249783653,0,0.0,0,3,0.5
130,happy-host.com,14,47.30296890880647,0,0.0,0,3,0.35714285714285715
131,geilicdn.com,12,39.01955000865388,0,0.0,0,4,0.3333333333333333
132,7654.com,8,24.0,4,0.5,1,1,0.375
133,veryamt.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
134,downxia.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
135,uniplayad.com,13,46.105716335834195,0,0.0,0,3,0.38461538461538464
136,uuserv70.com,12,41.01955000865387,2,0.16666666666666666,1,4,0.3333333333333333
137,rutracker.cc,12,33.50977500432694,0,0.0,0,3,0.5833333333333334
138,88rpg.net,9,26.529325012980813,2,0.2222222222222222,1,1,0.6666666666666666
139,host.sk,7,17.651484454403235,0,0.0,0,2,0.7142857142857143
140,qqtn.com,8,22.0,0,0.0,0,3,0.375
141,xzqh.info,9,28.529325012980813,0,0.0,0,3,0.4444444444444444
142,yuanzhe.me,10,31.21928094887362,0,0.0,0,4,0.4
143,ahjem.com,9,26.529325012980813,0,0.0,0,3,0.4444444444444444
144,jianbaimei.com,14,44.548081406643,0,0.0,0,4,0.2857142857142857
145,hpplay.cn,9,26.529325012980813,0,0.0,0,3,0.4444444444444444
146,publicvm.com,12,39.01955000865387,0,0.0,0,3,0.5
147,srvvtrk.com,11,34.05374780501027,0,0.0,0,4,0.2727272727272727
148,uuserv70.net,12,39.01955000865388,2,0.16666666666666666,1,4,0.3333333333333333
149,17c.cn,6,13.509775004326936,2,0.3333333333333333,1,1,0.5
150,91danji.com,11,38.05374780501027,2,0.18181818181818182,1,3,0.2727272727272727
151,leechers-paradise.org,21,75.4837783761905,0,0.0,0,3,0.38095238095238093
152,136156.com,10,29.21928094887362,6,0.6,1,1,0.3
153,wn51.com,8,24.0,2,0.25,1,2,0.375
154,avg.com,7,19.651484454403235,0,0.0,0,2,0.42857142857142855
155,legu.cc,7,17.65148445440323,0,0.0,0,2,0.42857142857142855
156,lvsetxt.com,11,36.05374780501027,0,0.0,0,4,0.2727272727272727
157,yeah.net,8,22.0,0,0.0,0,2,0.5
158,veoh.com,8,22.0,0,0.0,0,2,0.5
159,dynamodule.info,15,52.60335893412776,0,0.0,0,2,0.6666666666666666
160,best-torrents.net,17,50.731980799092305,0,0.0,0,3,0.47058823529411764
161,lightonus.com,13,46.105716335834195,0,0.0,0,4,0.38461538461538464
162,91leku.com,10,33.219280948873624,2,0.2,1,2,0.4
163,acgtracker.com,14,44.548081406643,0,0.0,0,3,0.5
164,webcindario.com,15,52.603358934127776,0,0.0,0,2,0.7333333333333333
165,biquge.cm,9,28.529325012980813,0,0.0,0,1,0.8888888888888888
166,doumaibiji.cn,13,43.350828833670725,0,0.0,0,4,0.38461538461538464
167,wacai.com,9,24.529325012980813,0,0.0,0,2,0.4444444444444444
168,6071.com,8,24.0,4,0.5,1,1,0.375
169,opentracker.xyz,15,54.60335893412777,0,0.0,0,2,0.7333333333333333
170,hostgator.com,13,41.350828833670725,0,0.0,0,2,0.6923076923076923
171,jwhss.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
172,uu.cc,5,7.609640474436811,0,0.0,0,2,0.6
173,mourl.cc,8,22.0,0,0.0,0,3,0.375
174,fxxz.com,8,22.0,0,0.0,0,2,0.5
175,bigestsafe.com,14,49.30296890880647,0,0.0,0,2,0.5
176,035x.com,8,24.0,3,0.375,1,1,0.5
177,urlload.net,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
178,cedexis.com,11,34.05374780501027,0,0.0,0,3,0.45454545454545453
179,3322.org,8,20.0,4,0.5,1,1,0.375
180,elecfans.com,12,39.01955000865388,0,0.0,0,3,0.3333333333333333
181,dakao8.com,10,29.21928094887362,1,0.1,1,3,0.3
182,viidii.info,11,26.444107330573456,0,0.0,0,3,0.36363636363636365
183,etahub.com,10,33.219280948873624,0,0.0,0,4,0.3
184,ptvcdn.net,10,29.21928094887362,0,0.0,0,3,0.3
185,tsdm.me,7,17.65148445440323,0,0.0,0,3,0.42857142857142855
186,anquanxia.com,13,41.350828833670725,0,0.0,0,3,0.46153846153846156
187,dothome.co.kr,13,41.350828833670725,0,0.0,0,4,0.3076923076923077
188,pomf.se,7,19.651484454403235,0,0.0,0,2,0.42857142857142855
189,xiepp.cc,8,20.0,0,0.0,0,2,0.5
190,myloglist.top,13,42.10571633583419,0,0.0,0,4,0.3076923076923077
191,myjino.ru,9,28.529325012980813,0,0.0,0,4,0.3333333333333333
192,yxad.com,8,24.0,0,0.0,0,2,0.625
193,yx-s.com,8,24.0,0,0.0,0,3,0.375
194,ywtx.cc,7,17.65148445440323,0,0.0,0,3,0.2857142857142857
195,freedata.cc,11,32.05374780501027,0,0.0,0,3,0.36363636363636365
196,yunshenjia.com,14,51.30296890880647,0,0.0,0,4,0.2857142857142857
197,lofter.com,10,31.21928094887362,0,0.0,0,3,0.4
198,trackerfix.com,14,49.30296890880647,0,0.0,0,3,0.5
199,chlbiz.com,10,31.21928094887362,0,0.0,0,3,0.3
200,sticker.la,10,33.219280948873624,0,0.0,0,2,0.7
201,wfqac.cn,8,22.0,0,0.0,0,2,0.5
202,zjnu.edu.cn,11,32.05374780501027,0,0.0,0,1,0.8181818181818182
203,blucd.org,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
204,beijing-time.org,16,55.24511249783653,0,0.0,0,3,0.4375
205,zokio.net,9,26.529325012980813,0,0.0,0,4,0.3333333333333333
206,iclick.com.cn,13,36.105716335834195,0,0.0,0,4,0.38461538461538464
207,znj.com,7,19.651484454403235,0,0.0,0,3,0.42857142857142855
208,tyread.com,10,33.219280948873624,0,0.0,0,2,0.5
209,port443.xyz,11,36.05374780501027,3,0.2727272727272727,1,2,0.36363636363636365
210,123juzi.net,11,38.05374780501027,3,0.2727272727272727,1,2,0.36363636363636365
211,lce9v.com,9,26.529325012980813,1,0.1111111111111111,1,2,0.4444444444444444
