,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
215,spotify.com,3,3,0,0.579380164285695,0.579380164285695
216,spanishdict.com,0,0,0,0.0,0.0
217,woman.ru,0,0,0,0.0,0.0
218,zongheng.com,0,0,0,0.0,0.0
219,52pk.com,1,5,0,0.0,0.5904362833084089
220,apartmenttherapy.com,0,0,0,0.0,0.0
221,royalbank.com,0,0,0,0.0,0.0
222,yourporn.sexy,0,0,0,0.0,0.0
223,ouo.press,0,0,0,0.0,0.0
224,finn.no,0,0,0,0.0,0.0
225,chosun.com,0,0,0,0.0,0.0
226,vesti.ru,0,0,0,0.0,0.0
227,huya.com,0,0,0,0.0,0.0
228,github.com,0,0,0,0.0,0.0
229,ladbible.com,0,0,0,0.0,0.0
230,mmo-champion.com,0,0,0,0.0,0.0
231,zerohedge.com,0,0,0,0.0,0.0
232,gizmodo.com,0,0,0,0.0,0.0
233,tim.it,0,0,0,0.0,0.0
234,pptv.com,0,0,0,0.0,0.0
235,google.by,0,0,0,0.0,0.0
236,meizu.com,0,0,0,0.0,0.0
237,slate.com,0,0,0,0.0,0.0
238,todayhumor.co.kr,0,0,0,0.0,0.0
239,google.iq,0,0,0,0.0,0.0
240,godaddy.com,0,0,0,0.0,0.0
241,berkeley.edu,3,3,0,0.579380164285695,0.9999999999999999
242,ebay.in,0,0,0,0.0,0.0
243,buzzfeed.com,0,0,0,0.0,0.0
244,weibo.com,39,15,120,0.5130740573894291,0.6458413326530875
245,book118.com,0,0,0,0.0,0.0
246,smartadtags.com,0,0,0,0.0,0.0
247,dianping.com,10,10,0,0.2775280104064451,0.6762456261857125
248,qunar.com,0,0,0,0.0,0.0
249,1688.com,10,5,0,0.4581460078048337,0.8277293767706428
250,icourse163.org,0,0,0,0.0,0.0
251,amazon.de,0,0,0,0.0,0.0
252,fastpic.ru,0,0,0,0.0,0.0
253,miui.com,0,0,0,0.0,0.0
254,vetogate.com,0,0,0,0.0,0.0
255,vidio.com,0,0,0,0.0,0.0
256,hotmovs.com,0,0,0,0.0,0.0
257,eenadu.net,0,0,0,0.0,0.0
258,thoughtco.com,0,0,0,0.0,0.0
259,codecanyon.net,0,0,0,0.0,0.0
260,translationbuddy.com,0,0,0,0.0,0.0
261,target.com,1,1,0,0.0,0.0
262,drudgereport.com,0,0,0,0.0,0.0
263,blogspot.in,0,0,0,0.0,0.0
264,zz106855.com,0,0,0,0.0,0.0
265,juejin.im,0,0,0,0.0,0.0
266,metropoles.com,0,0,0,0.0,0.0
267,agoda.com,0,0,0,0.0,0.0
268,iop.org,0,0,0,0.0,0.0
269,everydayhealth.com.tw,0,0,0,0.0,0.0
270,badoo.com,0,0,0,0.0,0.0
271,jianshu.com,0,0,0,0.0,0.0
272,wowkeren.com,0,0,0,0.0,0.0
273,efrable.info,0,0,0,0.0,0.0
274,w3cschool.cn,0,0,0,0.0,0.0
275,uniqlo.com,0,0,0,0.0,0.0
276,monster.com,0,0,0,0.0,0.0
277,tabnak.ir,0,0,0,0.0,0.0
278,breitbart.com,0,0,0,0.0,0.0
279,drive2.ru,0,0,0,0.0,0.0
280,google.com.sg,0,0,0,0.0,0.0
281,televisionfanatic.com,0,0,0,0.0,0.0
282,hollywoodreporter.com,0,0,0,0.0,0.0
283,force.com,0,0,0,0.0,0.0
284,friv.com,0,0,0,0.0,0.0
285,elconfidencial.com,0,0,0,0.0,0.0
286,onlinesbi.com,0,0,0,0.0,0.0
287,cnki.net,0,0,0,0.0,0.0
288,google.com.sa,0,0,0,0.0,0.0
289,sueddeutsche.de,0,0,0,0.0,0.0
290,kooora.com,0,0,0,0.0,0.0
291,coursehero.com,0,0,0,0.0,0.0
292,youtube-mp3.org,0,0,0,0.0,0.0
293,torrent9.cc,0,0,0,0.0,0.0
294,mail.com,0,0,0,0.0,0.0
295,telegraf.com.ua,0,0,0,0.0,0.0
296,51job.com,0,0,0,0.0,0.0
297,pscp.tv,0,0,0,0.0,0.0
298,imooc.com,0,0,0,0.0,0.0
299,ndtv.com,0,0,0,0.0,0.0
300,secure-surf.net,0,0,0,0.0,0.0
301,addthis.com,10,4,0,0.9397940008672035,1.0
302,airtel.in,0,0,0,0.0,0.0
303,infobae.com,0,0,0,0.0,0.0
304,icims.com,0,0,0,0.0,0.0
305,baixaki.com.br,0,0,0,0.0,0.0
306,yahoo.co.jp,0,0,0,0.0,0.0
